formula,state,delta_Hf,S,delta_Gf
H2O,l,-285.83,69.91,-237.13
H2O,g,-241.82,188.83,-228.57
CO2,g,-393.5,213.74,-394.36
CO,g,-110.53,197.66,-137.16
O2,g,0,205.03,0
N2,g,0,191.61,0
H2,g,0,130.68,0
CH4,g,-74.87,186.25,-50.72
NH3,g,-46.11,192.77,-16.45
NO,g,90.25,210.76,86.55
N2O,g,82.05,219.9,103.3
HCl,g,-92.3,186.69,-95.3
H2SO4,l,-814,156.9,-744.6
SO2,g,-296.83,248.2,-300.19
SO3,g,-396,256.8,-370.4
NaCl,s,-411.12,72.1,-384.14
KCl,s,-436.7,82.6,-408.5
CaO,s,-635.1,38.1,-603.3
CaCO3,s,-1206.9,92.9,-1128.8
MgO,s,-601.6,26.9,-569.6
Fe2O3,s,-824.2,87.4,-742.2
Fe3O4,s,-1118.4,146.4,-1015.4
MnO2,s,-520,53,-465
H2S,g,-20.6,205.7,-33.6
HCN,g,135.1,201.7,124.5
NaOH,s,-425.6,64.5,-379.5
KOH,s,-424.7,64,-360.5
Ca(OH)2,s,-986.2,83.4,-897.5
Mg(OH)2,s,-924.7,65.5,-833.6
Na2CO3,s,-1130.7,136.4,-1046.8
K2CO3,s,-1150,168,-1070
CH3OH,l,-238.6,126.8,-166.2
C2H5OH,l,-277,160.7,-174.8
